node_id,subnode_id
36095489,66559049
36095489,37776415
36095489,21063387
36095489,40678944
36095489,59029523
36095489,12514765
36095489,51462219
36095489,16187811
36095489,28664328
36095489,63063773
36095489,50662081
36095489,14178269
36095489,60966134
36095489,13384425
36095489,49657848
36095489,6510141
36095489,25204636
36095489,26976434
36095489,47835158
36095489,13769167
36095489,32988905
36095489,30833629
36095489,22028799
36095489,35545461
36095489,11985632
36095489,41083696
36095489,64602205
36095489,31375527
36095489,36161460
36095489,40927843
36095489,57758771
36095489,6559176
36095489,16331771
36095489,25531152
36095489,29674033
36095489,35658476
36095489,38190264
36095489,26646381
36095489,25860284
36095489,34138783
36095489,44551012
36095489,30077328
36095489,64094786
36095489,23621559
36095489,36771081
36095489,8162870
36095489,55752324
36095489,41172028
36095489,30019663
36095489,63694931
36095489,27699593
36095489,46428624
36095489,1170336
36095489,2298486
36095489,49302112
36095489,29940424
36095489,58460177
36095489,50503997
36095489,64729028
36095489,51537110
36095489,50224815
36095489,879533
36095489,53286293
36095489,61709746
36095489,22753332
36095489,57815102
36095489,56084165
36095489,65553759
36095489,61937149
36095489,8854502
36095489,35554426
36095489,45541895
36095489,50286261
36095489,54491580
36095489,19041147
36095489,48340264
36095489,7281910
36095489,37906282
36095489,17863962
36095489,63129088
36095489,61818213
36095489,51733318
36095489,57333824
36095489,63049249
36095489,52892235
36095489,58443590
36095489,55629734
36095489,43482236
36095489,23035891
36095489,44266301
36095489,22962727
36095489,36551774
36095489,12327998
36095489,36247454
36095489,27305307
36095489,55895708
36095489,16580729
36095489,5512183
36095489,21013958
36095489,34860177
36095489,65454478
36095489,34080008
36095489,44301860
36095489,14634760
36095489,26431847
36095489,64790116
36095489,3791006
36095489,42116304
36095489,33709268
36095489,26073342
36095489,13953332
36095489,35399006
36095489,17684602
36095489,61241995
36095489,51098345
36095489,2144561
36095489,34912651
36095489,14748939
36095489,76290
36095489,42225563
36095489,9615222
36095489,39378977
36095489,46686988
36095489,18786737
36095489,27195475
36095489,65446630
36095489,50421169
36095489,5092516
36095489,33112419
36095489,44321469
36095489,36476458
36095489,65369057
36095489,34647552
36095489,25611931
36095489,7327749
36095489,2652155
36095489,37238895
36095489,49573188
36095489,66919965
36095489,53274268
36095489,13753456
36095489,53122157
36095489,12945745
36095489,23029985
36095489,29123635
36095489,33208589
36095489,65685059
36095489,12636726
36095489,52549112
36095489,14603812
36095489,43677007
36095489,40450202
36095489,24605942
36095489,42136013
36095489,39685249
36095489,35652774
36095489,9590912
36095489,59091614
36095489,61984450
36095489,38679381
36095489,33229694
36095489,31546820
36095489,15269303
36095489,7027172
36095489,37188596
36095489,48975058
36095489,30845463
36095489,54078998
36095489,34804500
36095489,12979567
36095489,41597654
36095489,39744966
36095489,64314499
36095489,10974312
36095489,20986360
36095489,31102677
36095489,558601
36095489,11685437
36095489,19878518
36095489,6761178
36095489,29062637
36095489,46217253
36095489,62464614
36095489,13626521
36095489,6062247
36095489,22066379
36095489,58562519
36095489,15339939
36095489,46636929
36095489,32757897
36095489,40238720
36095489,29902781
36095489,2132141
36095489,54237739
36095489,18487382
36095489,49585085
36095489,29400800
36095489,9686228
36095489,4068504
